"run","metric","threshold_cy","overlap_samples","spikes","irq_spikes","clean_spikes","systick_spikes","tim2_spikes","max_irq_spike_cy","max_clean_spike_cy"
"21","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"21","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"22","semaphore_give_to_taskb_wake_attribution","1000","13","12","11","1","11","0","1752","1374"
"22","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"22","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"22","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"22","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"23","semaphore_give_to_taskb_wake_attribution","1000","15","12","12","0","12","0","1376","0"
"23","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"23","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"23","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"23","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"24","semaphore_give_to_taskb_wake_attribution","1000","4","4","4","0","4","0","1375","0"
"24","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"24","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"24","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"24","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"25","semaphore_give_to_taskb_wake_attribution","1000","13","12","11","1","11","0","1752","1374"
"25","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"25","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"25","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"25","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"26","semaphore_give_to_taskb_wake_attribution","1000","8","8","8","0","8","0","1776","0"
"26","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"26","queue_wake_latency_attribution","900","89","112","89","23","89","0","1229","1179"
"26","queue_end_to_end_latency_attribution","1100","106","128","105","23","105","0","1455","1421"
"26","mutex_lock_unlock_attribution","128","1","1","1","0","1","0","577","0"
"27","semaphore_give_to_taskb_wake_attribution","1000","11","11","11","0","11","0","1376","0"
"27","tim2_irq_to_task_attribution","900","25","25","25","0","25","0","1235","0"
"27","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"27","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"27","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"28","semaphore_give_to_taskb_wake_attribution","1000","13","10","10","0","10","0","1376","0"
"28","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"28","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"28","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"28","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"29","semaphore_give_to_taskb_wake_attribution","1000","15","12","12","0","12","0","1376","0"
"29","tim2_irq_to_task_attribution","900","85","108","85","23","85","0","1235","1186"
"29","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"29","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"29","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"30","semaphore_give_to_taskb_wake_attribution","1000","14","13","13","0","13","0","1769","0"
"30","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"30","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"30","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"30","mutex_lock_unlock_attribution","128","1","1","1","0","1","0","531","0"
